UPLOAD FROM FASTA FILE,['importers'],[]
IMPORT FROM FTP,['importers'],[]
Annotate Domains in a Genome,"['active', 'annotation']","['jmc', 'psnovichkov', 'rsutormin']"
Compute Pangenome,"['active', 'comparative_genomics']",['dejongh']
Compare Genomes from Pangenome,"['active', 'comparative_genomics']",['dejongh']
UPLOAD GENBANK FILE,['importers'],[]
IMPORT FROM FTP,['importers'],[]
Compare Two Proteomes,"['active', 'comparative_genomics']",[]
Build Feature Set from Genome,"['active', 'comparative_genomics', 'util']","['rsutormin', 'msneddon', 'psnovichkov', 'marcin', 'srividya22']"
Cluster Expression Data - Hierarchical,"['active', 'expression']","['rsutormin', 'msneddon', 'psnovichkov', 'marcin', 'srividya22']"
Cluster Expression Data - K-Means,"['active', 'expression']","['rsutormin', 'msneddon', 'psnovichkov', 'marcin', 'srividya22']"
Reconstruct Clusters from Dendrogram,"['active', 'expression']","['rsutormin', 'msneddon', 'psnovichkov', 'marcin', 'srividya22']"
Estimate K for K-Means Clustering,"['active', 'expression']","['rsutormin', 'msneddon', 'psnovichkov', 'marcin', 'srividya22']"
Associate Expression Matrix to Genome Features,"['active', 'expression']","['rsutormin', 'msneddon', 'psnovichkov', 'marcin', 'srividya22']"
Impute Missing Expression Values,"['active', 'expression']","['rsutormin', 'msneddon', 'psnovichkov', 'marcin', 'srividya22']"
EXPRESSION MATRIX FROM TSV FILE,['importers'],"['rsutormin', 'msneddon', 'psnovichkov', 'marcin', 'srividya22']"
View Expression Matrix Heatmap In Feature Table,"['active', 'expression']","['rsutormin', 'msneddon', 'psnovichkov', 'marcin', 'srividya22']"
View Expression Matrix Heatmap in Condition Table,"['active', 'expression']","['rsutormin', 'msneddon', 'psnovichkov', 'marcin', 'srividya22']"
View Pairwise Correlation for Expression Data,"['active', 'expression']","['rsutormin', 'msneddon', 'psnovichkov', 'marcin', 'srividya22']"
View Expression Profile,"['active', 'expression']","['rsutormin', 'msneddon', 'psnovichkov', 'marcin', 'srividya22']"
Align Reads using Bowtie2 - v2.2.9,['inactive'],[]
Align Reads using HISAT2 - v2.0.4,['inactive'],[]
Align Reads using TopHat2 - 2.1.1,['inactive'],[]
Assemble Transcripts using Cufflinks - v2.2.1,['inactive'],[]
Assemble Transcripts using StringTie - 1.2.3,['inactive'],[]
Build Bowtie2 Index - v2.2.9,['inactive'],[]
Create Expression Matrix,['inactive'],[]
Create RNA-seq Sample Set,['inactive'],[]
Create Differential Expression Matrix using Ballgown - v2.0.0,['inactive'],[]
Identify Differential Expression using Cuffdiff,['inactive'],[]
View RNASeqAnalysis,['viewers'],[]
View RNASeq Sample,['viewers'],[]
